id,ConceptA,ConceptB_Pre,prerequisite
71,Ergodic_theory,Partial_differential_equation,1
72,Finite_element_method,Matrix_(mathematics),1
73,Finite_element_method,Functional_analysis,1
74,Ergodic_theory,Vector_calculus,1
75,Complex_analysis,Multivariable_calculus,1
76,Mathematical_analysis,Vector_calculus,0
77,Numerical_analysis,Ordinary_differential_equation,0
78,Computability_theory,K-theory,0
79,Wavelet,Complex_analysis,0
80,Mathematical_model,Mathematical_logic,0
81,Partial_differential_equation,General_relativity,0
82,Topological_space,Calculus,0
83,Abstract_algebra,Lie_theory,0
84,General_relativity,Differential_topology,0
85,Linear_programming,Trigonometry,0
86,Coding_theory,Mathematical_optimization,0
87,Ergodic_theory,Mathematical_model,0
88,Multivariable_calculus,Set_theory,0
89,Numerical_linear_algebra,Commutative_algebra,0
90,Primality_test,Mathematical_model,0
91,Mathematical_optimization,Fourier_series,0
92,K-theory,Calculus,0
93,Orthogonal_polynomials,Primality_test,0
94,Statistics,Commutative_algebra,0
95,Mathematical_logic,Differentiable_manifold,0
96,Lie_theory,Discrete_mathematics,0
97,Orthogonal_polynomials,Number_theory,0
98,Approximation_theory,Functional_analysis,0
99,Discrete_mathematics,Statistics,0
100,Wavelet,Topology,0
101,Vector_calculus,Algebraic_topology,0
102,Analytical_mechanics,Algebraic_geometry,0
103,Combinatorics,Statistics,0
104,Computability_theory,Set_theory,0
105,Abstract_algebra,Trigonometry,0
106,Differential_equation,Stochastic_process,0
107,Algebra,Vector_calculus,0
108,Fourier_series,Analytical_mechanics,0
109,Differential_geometry,Mathematical_optimization,0
110,Abstract_algebra,Differential_equation,0
111,Special_relativity,Fourier_series,0
112,K-theory,Ordinary_differential_equation,0
113,Differential_geometry,Discrete_mathematics,0
114,K-theory,Commutative_algebra,0
115,Differentiable_manifold,Linear_algebra,0
116,Discrete_mathematics,Algebra,0
117,Number_theory,Numerical_linear_algebra,0
118,Discrete_mathematics,Fourier_series,0
119,Complex_analysis,Mathematical_statistics,0
120,Coding_theory,Special_relativity,0
121,Calculus,Stochastic_process,0
122,Stochastic_process,Fourier_analysis,0
123,Analytic_number_theory,Statistics,0
124,Approximation_theory,Multiscale_modeling,0
125,Von_Neumann_algebra,Analytic_geometry,0
126,Factorization,Set_theory,0
127,Mathematical_model,Stochastic_process,0
128,Algebra,Wavelet,0
129,Approximation_theory,Fourier_series,0
130,Topological_space,Differential_equation,0
131,Differential_equation,Fourier_analysis,0
132,Operations_research,Lie_theory,0
133,Fourier_series,Numerical_linear_algebra,0
134,Differentiable_manifold,Fourier_analysis,0
135,Trigonometry,Stochastic_process,0
136,Linear_algebra,Real_analysis,0
137,Mathematical_analysis,Analytic_geometry,0
138,Commutative_algebra,Fourier_series,0
139,Linear_programming,C*-algebra,0
140,Probability_theory,Numerical_linear_algebra,0
141,Mathematical_logic,Special_relativity,0
142,Special_relativity,Numerical_linear_algebra,0
143,K-theory,Ergodic_theory,0
144,Abstract_algebra,Factorization,0
145,Algebraic_geometry,C*-algebra,0
146,Lie_theory,Mathematical_logic,0
147,Vector_calculus,Topological_space,0
148,Complex_analysis,Stochastic_process,0
149,Mathematical_model,Trigonometry,0
150,Calculus,Mathematical_statistics,0
151,Differentiable_manifold,Abstract_algebra,0
152,Mathematical_analysis,Analytic_number_theory,0
153,Real_analysis,Multivariable_calculus,0
154,Algebraic_geometry,Algebraic_number_theory,0
155,Ergodic_theory,Algebraic_number_theory,0
156,Coding_theory,Vector_calculus,0
157,Analytical_mechanics,Mathematical_statistics,0
158,Stochastic_process,Lie_theory,0
159,Numerical_linear_algebra,Mathematical_logic,0
160,Dynamical_system,C*-algebra,0
161,Numerical_analysis,Number_theory,0
162,Differential_geometry,Fourier_series,0
163,C*-algebra,Stochastic_process,0
164,Algebra,Discrete_mathematics,0
165,Discrete_mathematics,Algebraic_topology,0
166,Von_Neumann_algebra,Number_theory,0
167,Differentiable_manifold,Number_theory,0
168,Partial_differential_equation,Topology,0
169,Fourier_series,General_relativity,0
170,Ordinary_differential_equation,Operations_research,0
171,Lie_theory,Mathematical_analysis,0
172,Commutative_algebra,Mathematical_statistics,0
173,Matrix_(mathematics),Numerical_analysis,0
174,Algebraic_number_theory,Algebraic_topology,0
175,Multivariable_calculus,Abstract_algebra,0
176,Functional_analysis,K-theory,0
177,Primality_test,Field_(mathematics),0
178,Dynamical_system,Trigonometry,0
179,Numerical_linear_algebra,Mathematical_analysis,0
180,C*-algebra,Field_(mathematics),0
181,Linear_algebra,Mathematical_logic,0
182,Algebraic_number_theory,Topology,0
183,Number_theory,Operations_research,0
184,Calculus,Discrete_mathematics,0
185,Mathematical_analysis,Stochastic_process,0
186,K-theory,Factorization,0
187,Calculus,Algebraic_number_theory,0
188,K-theory,Real_analysis,0
189,Multiscale_modeling,Algebraic_geometry,0
190,Numerical_analysis,Special_relativity,0
191,Trigonometry,Coding_theory,0
192,Number_theory,Field_(mathematics),0
193,Lie_theory,Wavelet,0
194,Topological_space,Mathematical_logic,0
195,Matrix_(mathematics),Algebraic_geometry,0
196,Factorization,Complex_analysis,0
197,Number_theory,Probability_theory,0
198,Metric_(mathematics),General_relativity,0
199,Topology,Commutative_algebra,0
200,Trigonometry,Finite_element_method,0
201,Primality_test,Fourier_analysis,0
202,Vector_calculus,Operations_research,0
203,Metric_(mathematics),Statistics,0
204,Algebraic_topology,Statistics,0
205,Numerical_linear_algebra,Complex_analysis,0
206,Special_relativity,K-theory,0
207,Commutative_algebra,Differentiable_manifold,0
208,Numerical_analysis,Algebraic_geometry,0
209,Multiscale_modeling,Matrix_(mathematics),0
210,Wavelet,Analytic_number_theory,0
211,Differential_topology,Mathematical_analysis,0
212,Algebraic_number_theory,Discrete_mathematics,0
213,Primality_test,Von_Neumann_algebra,0
214,Numerical_analysis,Differential_topology,0
215,Matrix_(mathematics),Statistics,0
216,Differential_geometry,Combinatorics,0
217,Topological_space,Primality_test,0
218,Stochastic_process,Real_analysis,0
219,Differential_equation,Finite_element_method,0
220,Combinatorics,Topology,0
221,Analytic_number_theory,Stochastic_process,0
222,Primality_test,Group_theory,0
223,Linear_programming,Von_Neumann_algebra,0
224,Field_(mathematics),Graph_theory,0
225,Algebra,Numerical_analysis,0
226,Algebra,Statistics,0
227,Mathematical_logic,Functional_analysis,0
228,Analytic_geometry,Factorization,0
229,Number_theory,Von_Neumann_algebra,0
230,Analytic_number_theory,Mathematical_analysis,0
231,Finite_element_method,Analytical_mechanics,0
232,Partial_differential_equation,Abstract_algebra,0
233,K-theory,Lie_theory,0
234,Algebraic_topology,Mathematical_model,0
235,Orthogonal_polynomials,Lie_theory,0
236,Calculus,General_relativity,0
237,Numerical_analysis,Graph_theory,0
238,Orthogonal_polynomials,Special_relativity,0
239,Graph_theory,Algebraic_topology,0
240,Calculus,C*-algebra,0
241,Mathematical_statistics,Wavelet,0
242,Algebra,Coding_theory,0
243,Von_Neumann_algebra,Calculus,0
244,Operations_research,Von_Neumann_algebra,0
245,Analytic_number_theory,Matrix_(mathematics),0
246,Primality_test,Matrix_(mathematics),0
247,Mathematical_analysis,Finite_element_method,0
248,Finite_element_method,Fourier_series,0
249,Calculus,Mathematical_model,0
250,Primality_test,K-theory,0
251,Fourier_series,Functional_analysis,0
252,Topology,Metric_(mathematics),0
253,Lie_theory,Mathematical_optimization,0
254,Approximation_theory,Group_theory,0
255,Algebraic_topology,Operations_research,0
256,Number_theory,Statistics,0
257,Approximation_theory,Ordinary_differential_equation,0
258,Algebraic_topology,Metric_(mathematics),0
259,Analytical_mechanics,K-theory,0
260,Mathematical_model,Topology,0
261,Fourier_analysis,Combinatorics,0
262,Fourier_analysis,Dynamical_system,0
263,Numerical_linear_algebra,Computability_theory,0
264,Differential_geometry,Coding_theory,0
265,Dynamical_system,Set_theory,0
266,Coding_theory,Orthogonal_polynomials,0
267,Field_(mathematics),Ordinary_differential_equation,0
268,Partial_differential_equation,Trigonometry,0
269,Calculus,Primality_test,0
270,Algebraic_topology,Primality_test,0
271,Special_relativity,Differential_geometry,0
272,Algebraic_topology,Multivariable_calculus,0
273,Calculus,Algebraic_geometry,0
274,Metric_(mathematics),Complex_analysis,0
275,Statistics,Primality_test,0
276,Mathematical_optimization,Differential_topology,0
277,Mathematical_logic,Algebraic_number_theory,0
278,Vector_calculus,Fourier_analysis,0
279,Analytic_geometry,Discrete_mathematics,0
280,Algebraic_number_theory,Complex_analysis,0
281,Primality_test,Algebraic_topology,0
282,Linear_programming,Commutative_algebra,0
283,Coding_theory,Probability_theory,0
284,Fourier_series,Mathematical_statistics,0
285,Linear_algebra,Analytic_number_theory,0
286,Algebraic_number_theory,Numerical_linear_algebra,0
287,Group_theory,Multivariable_calculus,0
288,Metric_(mathematics),Real_analysis,0
289,Finite_element_method,Primality_test,0
290,Functional_analysis,Discrete_mathematics,0
291,Dynamical_system,Orthogonal_polynomials,0
292,Lie_theory,Algebraic_number_theory,0
293,Primality_test,Operations_research,0
294,Functional_analysis,Combinatorics,0
295,Mathematical_model,Commutative_algebra,0
296,Topology,Number_theory,0
297,Algebraic_topology,Vector_calculus,0
298,Combinatorics,Fourier_analysis,0
299,Commutative_algebra,Coding_theory,0
300,Computability_theory,Mathematical_analysis,0
301,Statistics,Operations_research,0
302,Number_theory,Trigonometry,0
303,General_relativity,K-theory,0
304,Differentiable_manifold,Group_theory,0
305,Dynamical_system,Topological_space,0
306,Orthogonal_polynomials,Complex_analysis,0
307,Partial_differential_equation,Factorization,0
308,Finite_element_method,Computability_theory,0
309,Algebraic_geometry,Statistics,0
310,Lie_theory,Stochastic_process,0
311,Topology,Probability_theory,0
312,Algebraic_number_theory,Primality_test,0
313,Topological_space,Mathematical_optimization,0
314,Topological_space,Number_theory,0
315,Differential_equation,Topological_space,0
316,Orthogonal_polynomials,Statistics,0
317,Special_relativity,Ergodic_theory,0
318,Matrix_(mathematics),K-theory,0
319,Probability_theory,Ergodic_theory,0
320,Field_(mathematics),Probability_theory,0
321,Statistics,Coding_theory,0
322,Field_(mathematics),General_relativity,0
323,Probability_theory,Algebraic_geometry,0
324,Mathematical_logic,Number_theory,0
325,Metric_(mathematics),Finite_element_method,0
326,Lie_theory,Combinatorics,0
327,Analytic_geometry,Functional_analysis,0
328,Analytic_geometry,Coding_theory,0
329,K-theory,Finite_element_method,0
330,Group_theory,Vector_calculus,0
331,Fourier_series,Differential_equation,0
332,Field_(mathematics),Analytical_mechanics,0
333,Algebraic_number_theory,Commutative_algebra,0
334,Stochastic_process,Combinatorics,0
335,Mathematical_model,Topological_space,0
336,Operations_research,Differentiable_manifold,0
337,Primality_test,Set_theory,0
338,Lie_theory,Fourier_analysis,0
339,Abstract_algebra,Mathematical_statistics,0
340,Finite_element_method,Fourier_analysis,0
341,Group_theory,Analytical_mechanics,0
342,Probability_theory,Graph_theory,0
343,Multivariable_calculus,Field_(mathematics),0
344,Differentiable_manifold,Analytic_number_theory,0
345,Mathematical_optimization,Coding_theory,0
346,Algebraic_number_theory,Special_relativity,0
347,Numerical_analysis,Combinatorics,0
348,Special_relativity,Linear_programming,0
349,Primality_test,Finite_element_method,0
350,Approximation_theory,Algebraic_number_theory,0
351,Statistics,Fourier_analysis,0
352,Statistics,Mathematical_model,0
353,Vector_calculus,Commutative_algebra,0
354,Linear_programming,Combinatorics,0
355,Numerical_analysis,Stochastic_process,0
356,Mathematical_logic,Wavelet,0
357,Algebra,Stochastic_process,0
358,Linear_programming,K-theory,0
359,C*-algebra,Mathematical_optimization,0
360,Matrix_(mathematics),General_relativity,0
361,Matrix_(mathematics),Linear_programming,0
362,Mathematical_model,K-theory,0
363,Abstract_algebra,Stochastic_process,0
364,Algebraic_geometry,Numerical_linear_algebra,0
365,Number_theory,Coding_theory,0
366,Matrix_(mathematics),Algebra,0
367,Fourier_analysis,Metric_(mathematics),0
368,Probability_theory,Primality_test,0
369,Factorization,Wavelet,0
370,Complex_analysis,Differential_equation,0
371,Computability_theory,Differential_equation,0
372,Trigonometry,Real_analysis,0
373,Factorization,Fourier_series,0
374,Multivariable_calculus,Wavelet,0
375,Differential_topology,Approximation_theory,0
376,Real_analysis,Discrete_mathematics,0
377,Differentiable_manifold,Factorization,0
378,Ergodic_theory,Analytic_geometry,0
379,Multiscale_modeling,Special_relativity,0
380,Partial_differential_equation,Linear_algebra,0
381,Fourier_analysis,Algebra,0
382,Abstract_algebra,Graph_theory,0
383,Trigonometry,Topological_space,0
384,Statistics,Ordinary_differential_equation,0
385,Differential_geometry,Set_theory,0
386,Coding_theory,Fourier_analysis,0
387,Algebraic_number_theory,Stochastic_process,0
388,Algebra,Differential_topology,0
389,Discrete_mathematics,Linear_programming,0
390,Topology,Set_theory,0
391,C*-algebra,Trigonometry,0
392,Field_(mathematics),Matrix_(mathematics),0
393,Primality_test,Trigonometry,0
394,Computability_theory,Von_Neumann_algebra,0
395,Dynamical_system,Differential_topology,0
396,Fourier_analysis,Analytic_number_theory,0
397,Trigonometry,Analytic_geometry,0
398,Numerical_linear_algebra,Special_relativity,0
399,Mathematical_logic,Multiscale_modeling,0
400,Wavelet,Graph_theory,0
401,Vector_calculus,Numerical_linear_algebra,0
402,Group_theory,Linear_programming,0
403,Analytic_number_theory,Algebraic_topology,0
404,Algebraic_number_theory,Probability_theory,0
405,Algebra,Mathematical_logic,0
406,Vector_calculus,Probability_theory,0
407,Functional_analysis,Algebra,0
408,Mathematical_logic,Finite_element_method,0
409,Number_theory,Wavelet,0
410,Finite_element_method,Operations_research,0
411,Multiscale_modeling,Mathematical_optimization,0
412,Ergodic_theory,Mathematical_optimization,0
413,Orthogonal_polynomials,Combinatorics,0
414,Differential_equation,Number_theory,0
415,Ergodic_theory,Discrete_mathematics,0
416,Algebra,Set_theory,0
417,Wavelet,Factorization,0
418,Numerical_analysis,Coding_theory,0
419,Von_Neumann_algebra,Matrix_(mathematics),0
420,Finite_element_method,C*-algebra,0
421,Mathematical_analysis,General_relativity,0
422,Metric_(mathematics),Orthogonal_polynomials,0
423,Orthogonal_polynomials,Stochastic_process,0
424,Dynamical_system,Mathematical_model,0
425,Mathematical_optimization,Dynamical_system,0
426,Analytical_mechanics,Operations_research,0
427,Ordinary_differential_equation,Linear_algebra,0
428,Commutative_algebra,Analytic_number_theory,0
429,Probability_theory,Special_relativity,0
430,Real_analysis,Field_(mathematics),0
431,Analytical_mechanics,Number_theory,0
432,Analytical_mechanics,Topology,0
433,Operations_research,General_relativity,0
434,Differential_geometry,Approximation_theory,0
435,Algebraic_topology,Ergodic_theory,0
436,Approximation_theory,Combinatorics,0
437,Mathematical_analysis,Lie_theory,0
438,Ordinary_differential_equation,K-theory,0
439,Lie_theory,Differential_topology,0
440,Factorization,Differential_geometry,0
441,Vector_calculus,Functional_analysis,0
442,Set_theory,Mathematical_statistics,0
443,Analytic_number_theory,Multiscale_modeling,0
444,Complex_analysis,Computability_theory,0
445,Statistics,Computability_theory,0
446,Partial_differential_equation,Dynamical_system,0
447,Computability_theory,Analytic_number_theory,0
448,Set_theory,Differential_equation,0
449,Orthogonal_polynomials,Factorization,0
450,Mathematical_logic,Trigonometry,0
451,Graph_theory,Set_theory,0
452,Ergodic_theory,Group_theory,0
453,Analytic_geometry,Primality_test,0
454,Commutative_algebra,Functional_analysis,0
455,Lie_theory,Ergodic_theory,0
456,Wavelet,Computability_theory,0
457,Complex_analysis,C*-algebra,0
458,Mathematical_statistics,Lie_theory,0
459,Topology,Mathematical_optimization,0
460,Matrix_(mathematics),Primality_test,0
461,Computability_theory,Dynamical_system,0
462,Stochastic_process,Trigonometry,0
463,Multiscale_modeling,Differentiable_manifold,0
464,Dynamical_system,Multiscale_modeling,0
465,Special_relativity,Topological_space,0
466,Commutative_algebra,Computability_theory,0
467,Metric_(mathematics),Calculus,0
468,Fourier_series,Multivariable_calculus,0
469,Fourier_analysis,Complex_analysis,0
470,Coding_theory,Algebraic_topology,0
471,Analytic_number_theory,Primality_test,0
472,Stochastic_process,Abstract_algebra,0
473,Group_theory,Primality_test,0
474,Differentiable_manifold,Set_theory,0
475,Number_theory,Mathematical_model,0
476,Multivariable_calculus,Topology,0
477,Analytical_mechanics,Combinatorics,0
478,Commutative_algebra,Differential_equation,0
479,Real_analysis,Operations_research,0
480,Ordinary_differential_equation,Numerical_linear_algebra,0
481,Factorization,Abstract_algebra,0
482,Matrix_(mathematics),Numerical_linear_algebra,0
483,Multiscale_modeling,Stochastic_process,0
484,Primality_test,Combinatorics,0
485,Computability_theory,Discrete_mathematics,0
486,Commutative_algebra,Calculus,0
487,Analytical_mechanics,Finite_element_method,0
488,Differential_geometry,Trigonometry,0
489,Real_analysis,Numerical_analysis,0
490,Field_(mathematics),Factorization,0
491,Numerical_analysis,Finite_element_method,0
492,Complex_analysis,Coding_theory,0
493,General_relativity,Trigonometry,0
494,Algebraic_geometry,Computability_theory,0
495,Wavelet,Primality_test,0
496,Fourier_analysis,Linear_programming,0
497,Numerical_linear_algebra,Mathematical_model,0
498,Lie_theory,Trigonometry,0
499,Numerical_analysis,Dynamical_system,0
500,Set_theory,Factorization,0
501,Group_theory,Probability_theory,0
502,Functional_analysis,Primality_test,0
503,Mathematical_model,Differentiable_manifold,0
504,Commutative_algebra,Matrix_(mathematics),0
505,Calculus,Mathematical_optimization,0
506,Ergodic_theory,Algebraic_geometry,0
507,C*-algebra,Algebraic_topology,0
508,Mathematical_analysis,Dynamical_system,0
509,Mathematical_statistics,Linear_algebra,0
510,Multiscale_modeling,Mathematical_statistics,0
511,Set_theory,Differentiable_manifold,0
512,Special_relativity,Numerical_analysis,0
513,Group_theory,Computability_theory,0
514,Von_Neumann_algebra,Ergodic_theory,0
515,Vector_calculus,Dynamical_system,0
516,Operations_research,Combinatorics,0
517,C*-algebra,Multiscale_modeling,0
518,Topology,Algebraic_number_theory,0
519,Mathematical_analysis,Number_theory,0
520,Calculus,Real_analysis,0
521,Analytical_mechanics,Set_theory,0
522,Fourier_series,Set_theory,0
523,Metric_(mathematics),Topological_space,0
524,K-theory,Analytic_number_theory,0
525,Multivariable_calculus,Stochastic_process,0
526,Complex_analysis,Graph_theory,0
527,Coding_theory,Complex_analysis,0
528,Ergodic_theory,Mathematical_logic,0
529,Approximation_theory,Discrete_mathematics,0
530,Finite_element_method,Mathematical_statistics,0
531,Field_(mathematics),Numerical_analysis,0
532,Operations_research,Primality_test,0
533,Primality_test,Differential_geometry,0
534,Von_Neumann_algebra,Numerical_linear_algebra,0
535,Real_analysis,Abstract_algebra,0
536,Mathematical_analysis,Special_relativity,0
537,Complex_analysis,Functional_analysis,0
538,Differentiable_manifold,Topology,0
539,Probability_theory,Abstract_algebra,0
540,Statistics,Lie_theory,0
541,Primality_test,Statistics,0
542,Lie_theory,Group_theory,0
543,Differentiable_manifold,Computability_theory,0
544,Operations_research,Graph_theory,0
545,Mathematical_logic,Analytic_number_theory,0
546,Von_Neumann_algebra,Stochastic_process,0
547,Complex_analysis,Linear_programming,0
548,Von_Neumann_algebra,Linear_programming,0
549,Differential_geometry,Group_theory,0
550,Dynamical_system,Combinatorics,0
551,Topology,Topological_space,0
552,Partial_differential_equation,Mathematical_optimization,0
553,Special_relativity,Statistics,0
554,Graph_theory,Approximation_theory,0
555,Operations_research,Ergodic_theory,0
556,K-theory,Field_(mathematics),0
557,Real_analysis,Matrix_(mathematics),0
558,Abstract_algebra,Set_theory,0
559,Finite_element_method,Algebra,0
560,Mathematical_optimization,Primality_test,0
561,Matrix_(mathematics),Mathematical_logic,0
562,Topology,Complex_analysis,0
563,Approximation_theory,Linear_programming,0
564,Discrete_mathematics,Vector_calculus,0
565,Statistics,Combinatorics,0
566,Partial_differential_equation,Computability_theory,0
567,Lie_theory,Coding_theory,0
568,Ergodic_theory,Matrix_(mathematics),0
569,Multiscale_modeling,Combinatorics,0
570,Number_theory,Topology,0
571,Special_relativity,Metric_(mathematics),0
572,Analytic_number_theory,Differential_topology,0
573,Trigonometry,Matrix_(mathematics),0
574,Linear_algebra,Multiscale_modeling,0
575,Linear_programming,Differentiable_manifold,0
576,Mathematical_analysis,Mathematical_model,0
577,Analytic_number_theory,Analytical_mechanics,0
578,Multivariable_calculus,Metric_(mathematics),0
579,Multivariable_calculus,Algebraic_number_theory,0
580,Factorization,Topology,0
581,Ergodic_theory,Operations_research,0
582,Partial_differential_equation,Differential_equation,0
583,C*-algebra,Coding_theory,0
584,Real_analysis,Metric_(mathematics),0
585,Commutative_algebra,General_relativity,0
586,Partial_differential_equation,Primality_test,0
587,Real_analysis,Number_theory,0
588,Linear_algebra,Topological_space,0
589,Set_theory,Metric_(mathematics),0
590,Mathematical_statistics,Finite_element_method,0
591,Field_(mathematics),Discrete_mathematics,0
592,Vector_calculus,Coding_theory,0
593,General_relativity,Metric_(mathematics),0
594,Wavelet,Discrete_mathematics,0
595,Partial_differential_equation,Set_theory,0
596,Orthogonal_polynomials,Set_theory,0
597,Discrete_mathematics,Mathematical_analysis,0
598,Primality_test,Calculus,0
599,Operations_research,Real_analysis,0
600,Multiscale_modeling,Calculus,0
601,Partial_differential_equation,Commutative_algebra,0
602,Metric_(mathematics),Probability_theory,0
603,Mathematical_analysis,Ordinary_differential_equation,0
604,Linear_algebra,Topology,0
605,Approximation_theory,Commutative_algebra,0
606,Analytic_geometry,Differentiable_manifold,0
607,Matrix_(mathematics),Vector_calculus,0
608,Mathematical_logic,Analytical_mechanics,0
609,Probability_theory,Complex_analysis,0
610,Discrete_mathematics,K-theory,0
611,Multiscale_modeling,Differential_geometry,0
612,Numerical_analysis,Linear_programming,0
613,Vector_calculus,Orthogonal_polynomials,0
614,Abstract_algebra,Primality_test,0
615,Mathematical_optimization,Mathematical_analysis,0
616,Finite_element_method,Coding_theory,0
617,Coding_theory,Linear_programming,0
618,Commutative_algebra,Finite_element_method,0
619,Numerical_linear_algebra,C*-algebra,0
620,Topological_space,Lie_theory,0
621,Combinatorics,Algebra,0
622,Linear_algebra,Differential_geometry,0
623,Functional_analysis,Fourier_analysis,0
624,Differentiable_manifold,Graph_theory,0
625,Differential_equation,Mathematical_optimization,0
626,Differentiable_manifold,Von_Neumann_algebra,0
627,Ordinary_differential_equation,Group_theory,0
628,Analytic_geometry,Vector_calculus,0
629,Commutative_algebra,Analytical_mechanics,0
630,Group_theory,Stochastic_process,0
631,Operations_research,Algebraic_topology,0
632,Complex_analysis,K-theory,0
633,Functional_analysis,Statistics,0
634,Computability_theory,Commutative_algebra,0
635,Stochastic_process,General_relativity,0
636,Trigonometry,Abstract_algebra,0
637,Mathematical_logic,Fourier_analysis,0
638,Differentiable_manifold,Partial_differential_equation,0
639,Discrete_mathematics,Metric_(mathematics),0
640,Mathematical_optimization,Fourier_analysis,0
641,Differential_geometry,Primality_test,0
642,Topological_space,Differential_geometry,0
643,Stochastic_process,Algebra,0
644,Mathematical_logic,Partial_differential_equation,0
645,Von_Neumann_algebra,Graph_theory,0
646,Abstract_algebra,Topological_space,0
647,Complex_analysis,Algebraic_topology,0
648,Field_(mathematics),Calculus,0
649,Mathematical_model,General_relativity,0
650,Graph_theory,Abstract_algebra,0
651,General_relativity,Approximation_theory,0
652,Real_analysis,Functional_analysis,0
653,Complex_analysis,Set_theory,0
654,Differential_equation,Wavelet,0
655,Partial_differential_equation,K-theory,0
656,Fourier_analysis,Differential_equation,0
657,Mathematical_optimization,Metric_(mathematics),0
658,Approximation_theory,Stochastic_process,0
