id,ConceptA,ConceptB_Pre,prerequisite,Substituido
68,Programming_language,Translator_(computing),1,N
69,Information_security,Operating_system,1,N
70,Translator_(computing),Data_structure,1,N
71,Object-oriented_analysis_and_design,Object-oriented_programming,1,N
72,Knowledge_management,Database,1,N
73,Computer_architecture,Operating_system,1,N
74,System_programming,Algorithm,1,N
75,Computer_security,Information_security,1,N
76,Graphical_model,Parallel_computing,1,N
77,Knowledge_management,Data_mining,1,N
78,Software_testing,Software_engineering,1,N
79,Mobile_application_development,Data_structure,1,N
80,Modeling_language,Software_engineering,1,N
81,Software_development,Object-oriented_programming,1,N
82,Object-oriented_analysis_and_design,Object-oriented_design,1,N
83,Modeling_language,Object-oriented_design,1,N
84,Compiler_construction,Translator_(computing),1,N
85,Object-oriented_design,Algorithm,1,N
86,Robotics,Algorithm,1,N
87,Data-intensive_computing,Operating_system,1,N
88,Information_security,Database,1,N
89,Distributed_object,Object-oriented_programming,1,N
90,Mobile_application_development,Algorithm,1,N
91,Computational_geometry,Algorithm,1,N
92,Broadband_networks,Computer_network,1,N
93,Internet_protocol_suite,Computer_network,1,N
94,Wireless_network,Computer_network,1,N
95,Programming_language,Discrete_mathematics,1,N
96,Object-oriented_programming,Algorithm,1,N
97,Distributed_computing,System_programming,1,N
98,Data_mining,Algorithm,1,N
99,Game_theory,Algorithm,1,N
100,Parallel_computing,Operating_system,1,N
101,Cryptography,Algorithm,1,N
102,Computational_linguistics,Natural_language_processing,1,N
103,Software_development,Object-oriented_design,1,N
104,Machine_learning,Algorithm,1,N
105,Information_management,Database,1,N
106,Computer_graphics,Algorithm,1,N
107,Object-oriented_design,Object-oriented_programming,1,N
108,Programming_language,Data_structure,1,N
109,Distributed_object,Computer_graphics,0,N
110,Theory_of_computation,Object-oriented_programming,0,N
111,Software_project_management,Translator_(computing),0,N
112,Translator_(computing),Data_warehouse,0,N
113,Distributed_computing,Compiler_construction,0,N
114,Translator_(computing),Parallel_computing,0,N
115,Broadband_networks,Test_automation,0,N
116,Machine_learning,Software_analytics,0,N
117,Software_engineering,Natural_language_processing,0,N
118,Computer_security,Translator_(computing),0,N
119,Distributed_object,Algorithm,0,N
120,Algorithm_design,Knowledge_management,0,N
121,Software_project_management,Data-intensive_computing,0,N
122,Algorithm_design,Computer_architecture,0,N
123,Algorithm,Robotics,0,N
124,Computer-aided_software_engineering,Computer_network,0,N
125,Computational_geometry,Information_security,0,N
126,Discrete_mathematics,Computer_network,0,N
127,Algorithm_design,Computer_graphics,0,N
128,Distributed_object,Knowledge_management,0,N
129,Object-oriented_analysis_and_design,Operating_system,0,N
130,Computer_network,Data_integration,0,N
131,Software_testing,Computer_network,0,N
132,Algorithm_design,Object-oriented_analysis_and_design,0,N
133,Internet_protocol_suite,Network_service,0,N
134,Compiler_construction,Machine_learning,0,N
135,Object-oriented_analysis_and_design,Computer_graphics,0,N
136,Parallel_computing,Data_integration,0,N
137,Knowledge_management,Software_development,0,N
138,Assembly_language,Object-oriented_analysis_and_design,0,N
139,Microarchitecture,Wireless_network,0,N
140,Software_metric,Discrete_mathematics,0,N
141,Cryptography,Computational_linguistics,0,N
142,Artificial_intelligence,Distributed_object,0,N
143,Data-intensive_computing,Software_metric,0,N
144,Modeling_language,Data_warehouse,0,N
145,Graphical_model,Database,0,N
146,Cryptography,Information_retrieval,0,N
147,Test_automation,Data-intensive_computing,0,N
148,Data_integration,Software_quality_management,0,N
149,Discrete_mathematics,Translator_(computing),0,N
150,Software_engineering,Microarchitecture,0,N
151,System_programming,Parallel_computing,0,S
152,Computer_security,Network_security,0,N
153,Algorithm,Compiler_construction,0,N
154,Theory_of_computation,Software_analytics,0,N
155,Computer_security,Theory_of_computation,0,N
156,Software_quality_management,Computer_graphics,0,N
157,Software_development,Software_quality_management,0,N
158,Machine_learning,Software_quality_management,0,N
159,Translator_(computing),Mobile_application_development,0,N
160,Computational_geometry,Computer_architecture,0,N
161,Software_project_management,Modeling_language,0,N
162,Knowledge_management,Software_engineering,0,N
163,Wireless_network,Operating_system,0,N
164,Computational_geometry,Computational_linguistics,0,N
165,Microarchitecture,Object-oriented_programming,0,N
166,Computer_security,Object-oriented_programming,0,N
167,Translator_(computing),Theory_of_computation,0,N
168,Distributed_object,Software_engineering,0,N
169,Analysis_of_algorithms,Software_quality_management,0,N
170,Database,Computer_vision,0,N
171,Software_project_management,Cloud_computing,0,N
172,Computer_vision,Internet_protocol_suite,0,N
173,Distributed_object,Software_quality_management,0,N
174,Algorithm_design,Information_management,0,N
175,Combinatorial_optimization,Object-oriented_analysis_and_design,0,N
176,Modeling_language,Information_management,0,N
177,Wireless_network,Computational_linguistics,0,N
178,Computer-aided_software_engineering,Graphical_model,0,N
179,Microarchitecture,Computer_security,0,N
180,Assembly_language,Information_management,0,N
181,Mobile_application_development,Combinatorial_optimization,0,N
182,Cloud_computing,Natural_language_processing,0,N
183,Parallel_computing,Computer_security,0,N
184,Cloud_computing,Software_analytics,0,N
185,Discrete_mathematics,Software_metric,0,N
186,Software_analytics,Data-intensive_computing,0,N
187,Software_quality_management,Social_network_analysis,0,N
188,Parallel_computing,Computer_security,0,S
189,Computer-aided_software_engineering,Software_analytics,0,N
190,Wireless_network,Computer-aided_software_engineering,0,N
191,Algorithm,Knowledge_management,0,N
192,Information_management,Software_project_management,0,N
193,Software_metric,Data_integration,0,N
194,Software_testing,Theory_of_computation,0,N
195,Computational_linguistics,Data_warehouse,0,N
196,Translator_(computing),Parallel_computing,0,S
197,Artificial_intelligence,Test_automation,0,N
198,Software_quality_management,Programming_language,0,N
199,Assembly_language,Software_analytics,0,N
200,Assembly_language,Knowledge_management,0,N
201,Algorithm_design,Graphical_model,0,N
202,Software_development,Combinatorial_optimization,0,N
203,Machine_learning,Software_project_management,0,N
204,Software_architecture,Discrete_mathematics,0,N
205,Software_architecture,Algorithm,0,N
206,Artificial_intelligence,Software_quality_management,0,N
207,Theory_of_computation,Compiler_construction,0,N
208,Machine_learning,Information_security,0,N
209,Data_warehouse,Information_retrieval,0,N
210,Computer_architecture,Object-oriented_design,0,N
211,Database,Software_quality_management,0,N
212,Robotics,Software_architecture,0,N
213,Network_security,Software_project_management,0,N
214,Internet_protocol_suite,Software_metric,0,N
215,Knowledge_management,Robotics,0,N
216,Broadband_networks,Information_management,0,N
217,Operating_system,Artificial_intelligence,0,N
218,Broadband_networks,Microarchitecture,0,N
219,Wireless_network,Test_automation,0,N
220,Software_architecture,System_programming,0,N
221,Information_management,Computer_architecture,0,N
222,Software_quality_management,Game_theory,0,N
223,Software_development,Software_metric,0,N
224,Wireless_network,Software_quality_management,0,N
225,Object-oriented_programming,Software_metric,0,N
226,Computer_network,Machine_learning,0,N
227,Computer_graphics,Cloud_computing,0,N
228,Parallel_computing,Machine_learning,0,N
229,Algorithm_design,Information_retrieval,0,N
230,Test_automation,Natural_language_processing,0,N
231,Information_management,Network_security,0,N
232,Parallel_computing,Object-oriented_analysis_and_design,0,N
233,Test_automation,Data_mining,0,N
234,Modeling_language,Natural_language_processing,0,N
235,System_programming,Computer_security,0,N
236,Parallel_computing,Computational_geometry,0,N
237,Information_security,Software_metric,0,N
238,Object-oriented_design,Combinatorial_optimization,0,N
239,Combinatorial_optimization,System_programming,0,N
240,Test_automation,Mobile_application_development,0,N
241,Mobile_application_development,Data_warehouse,0,N
242,Discrete_mathematics,Software_testing,0,N
243,Natural_language_processing,Computational_geometry,0,N
244,Algorithm_design,Cryptography,0,N
245,Distributed_object,Cloud_computing,0,N
246,Software_testing,Distributed_object,0,N
247,Natural_language_processing,Parallel_computing,0,N
248,Computer_network,Distributed_object,0,N
249,System_programming,Game_theory,0,N
250,Data_integration,Algorithm_design,0,N
251,Computational_geometry,Computer_vision,0,N
252,Information_retrieval,Data_warehouse,0,N
253,Software_analytics,Broadband_networks,0,N
254,Software_quality_management,Data_integration,0,N
255,Computer-aided_software_engineering,Data_warehouse,0,N
256,Distributed_object,Software_development,0,N
257,Software_development,Theory_of_computation,0,N
258,Mobile_application_development,Operating_system,0,N
259,Theory_of_computation,Computer_graphics,0,N
260,Discrete_mathematics,Modeling_language,0,N
261,Modeling_language,Cloud_computing,0,N
262,Computer_security,Social_network_analysis,0,N
263,Database,Computer_security,0,N
264,Cloud_computing,Social_network_analysis,0,N
265,Broadband_networks,Data-intensive_computing,0,N
266,Broadband_networks,Software_analytics,0,N
267,Information_retrieval,Assembly_language,0,N
268,Algorithm_design,Social_network_analysis,0,N
269,Algorithm,Artificial_intelligence,0,N
270,Software_project_management,Network_service,0,N
271,Discrete_mathematics,Cryptography,0,N
272,Computer_vision,Robotics,0,N
273,Software_metric,Computational_geometry,0,N
274,Broadband_networks,Knowledge_management,0,N
275,Software_development,Machine_learning,0,N
276,Assembly_language,Software_development,0,N
277,Software_quality_management,Cloud_computing,0,N
278,Software_engineering,Data_mining,0,N
279,Artificial_intelligence,Data_integration,0,N
280,Theory_of_computation,Cryptography,0,N
281,Combinatorial_optimization,Software_quality_management,0,N
282,Combinatorial_optimization,Network_service,0,N
283,Algorithm,Operating_system,0,N
284,Data_integration,Network_service,0,N
285,Cryptography,Analysis_of_algorithms,0,N
286,Knowledge_management,Analysis_of_algorithms,0,N
287,Machine_learning,Programming_language,0,N
288,Discrete_mathematics,System_programming,0,N
289,Test_automation,Graphical_model,0,N
290,Data_mining,Internet_protocol_suite,0,N
291,Parallel_computing,Computer_network,0,N
292,Data_warehouse,Software_project_management,0,N
293,Assembly_language,Mobile_application_development,0,N
294,Software_quality_management,Software_analytics,0,N
295,Information_retrieval,Broadband_networks,0,N
296,Cryptography,Computer-aided_software_engineering,0,N
297,Robotics,Modeling_language,0,N
298,Artificial_intelligence,Translator_(computing),0,N
299,Software_metric,Information_management,0,N
300,Software_testing,Network_service,0,N
301,Operating_system,Cryptography,0,N
302,Software_quality_management,Object-oriented_design,0,N
303,Software_analytics,Game_theory,0,N
304,Robotics,Computational_linguistics,0,N
305,Data_warehouse,Robotics,0,N
306,Computational_linguistics,Cryptography,0,N
307,Software_architecture,Software_quality_management,0,N
308,Network_service,Computer_security,0,N
309,Data-intensive_computing,Mobile_application_development,0,N
310,Broadband_networks,Object-oriented_design,0,N
311,Compiler_construction,Data_integration,0,N
312,Machine_learning,Internet_protocol_suite,0,N
313,Software_engineering,Software_metric,0,N
314,Test_automation,Object-oriented_analysis_and_design,0,N
315,System_programming,Distributed_object,0,N
316,Computer_vision,Software_architecture,0,N
317,Computational_geometry,Social_network_analysis,0,N
318,Information_management,Software_development,0,N
319,Social_network_analysis,Computational_linguistics,0,N
320,Computational_geometry,Database,0,N
321,Information_retrieval,Operating_system,0,N
322,Software_architecture,Data-intensive_computing,0,N
323,Test_automation,Broadband_networks,0,N
324,Analysis_of_algorithms,Distributed_computing,0,N
325,Software_engineering,System_programming,0,N
326,Theory_of_computation,Distributed_computing,0,N
327,Software_testing,Computer_vision,0,N
328,Translator_(computing),Game_theory,0,N
329,Distributed_object,Discrete_mathematics,0,N
330,Software_architecture,Information_retrieval,0,N
331,Distributed_object,Network_service,0,N
332,Machine_learning,Knowledge_management,0,N
333,Software_analytics,Computer_security,0,N
334,Social_network_analysis,Software_metric,0,N
335,Computer_architecture,Information_retrieval,0,N
336,Computer_graphics,Cryptography,0,N
337,System_programming,Software_testing,0,N
338,Game_theory,Data_warehouse,0,N
339,Object-oriented_analysis_and_design,Assembly_language,0,N
340,Graphical_model,Assembly_language,0,N
341,Software_project_management,Computer_vision,0,N
342,Distributed_object,Data_warehouse,0,N
343,Game_theory,Software_project_management,0,N
344,Combinatorial_optimization,Data-intensive_computing,0,N
345,Assembly_language,Software_quality_management,0,N
346,Computer-aided_software_engineering,Operating_system,0,N
347,Database,Software_analytics,0,N
348,Information_retrieval,Software_testing,0,N
349,Computer_network,Data_warehouse,0,N
350,Object-oriented_programming,Mobile_application_development,0,N
351,Software_engineering,Software_analytics,0,N
352,Software_architecture,Graphical_model,0,N
353,Information_retrieval,Computational_linguistics,0,N
354,Software_quality_management,Algorithm,0,N
355,Computer_vision,Software_quality_management,0,N
356,Assembly_language,Translator_(computing),0,N
357,Computational_geometry,Data_mining,0,N
358,Software_development,Computational_geometry,0,N
359,Game_theory,Computational_linguistics,0,N
360,Wireless_network,Theory_of_computation,0,N
361,Object-oriented_programming,Software_testing,0,N
362,Assembly_language,Computational_linguistics,0,N
363,Compiler_construction,Combinatorial_optimization,0,N
364,Wireless_network,Mobile_application_development,0,N
365,Object-oriented_design,Test_automation,0,N
366,Microarchitecture,Theory_of_computation,0,N
367,Algorithm_design,Parallel_computing,0,N
368,Compiler_construction,Information_security,0,N
369,System_programming,Combinatorial_optimization,0,N
370,Software_analytics,Knowledge_management,0,N
371,Broadband_networks,Machine_learning,0,N
372,Data-intensive_computing,Translator_(computing),0,N
373,Algorithm,Machine_learning,0,N
374,Information_retrieval,Software_project_management,0,N
375,Software_engineering,Software_testing,0,N
376,Computer-aided_software_engineering,Information_security,0,N
377,Translator_(computing),Computer_graphics,0,N
378,Network_security,Software_analytics,0,N
379,Computer_graphics,Computer_security,0,N
380,Computer_security,Distributed_object,0,N
381,Distributed_object,Software_testing,0,N
382,Discrete_mathematics,Combinatorial_optimization,0,N
383,Information_management,Data_integration,0,N
384,Distributed_computing,Robotics,0,N
385,Distributed_computing,Combinatorial_optimization,0,N
386,Cryptography,Object-oriented_design,0,N
387,Data_structure,Information_management,0,N
388,Social_network_analysis,Software_development,0,N
389,System_programming,Cloud_computing,0,N
390,Internet_protocol_suite,Microarchitecture,0,N
391,Object-oriented_programming,Knowledge_management,0,N
392,Computer-aided_software_engineering,Translator_(computing),0,N
393,Data_structure,Internet_protocol_suite,0,N
394,System_programming,Distributed_computing,0,N
395,Knowledge_management,Network_service,0,N
396,Database,Combinatorial_optimization,0,N
397,Parallel_computing,Computational_geometry,0,S
398,Software_analytics,Database,0,N
399,Distributed_computing,Discrete_mathematics,0,N
400,Artificial_intelligence,Cloud_computing,0,N
401,Operating_system,Software_development,0,N
402,Object-oriented_design,Computer_graphics,0,N
403,Analysis_of_algorithms,Computer_graphics,0,N
404,Modeling_language,Computer-aided_software_engineering,0,N
405,Theory_of_computation,Software_quality_management,0,N
406,Operating_system,Data_warehouse,0,N
407,Modeling_language,Broadband_networks,0,N
408,Computer_security,Software_testing,0,N
409,Computational_linguistics,Computer_network,0,N
410,Discrete_mathematics,Computational_geometry,0,N
411,Software_quality_management,Network_service,0,N
412,Game_theory,Software_quality_management,0,N
413,Internet_protocol_suite,Graphical_model,0,N
414,System_programming,Theory_of_computation,0,N
415,Object-oriented_programming,Computer_graphics,0,N
416,Game_theory,Object-oriented_analysis_and_design,0,N
417,Robotics,Software_metric,0,N
418,Natural_language_processing,Data_mining,0,N
419,Analysis_of_algorithms,Network_service,0,N
420,Software_project_management,Theory_of_computation,0,N
421,Data-intensive_computing,Computer_vision,0,N
422,Network_service,Computational_geometry,0,N
423,Operating_system,Microarchitecture,0,N
424,Data-intensive_computing,Compiler_construction,0,N
425,Distributed_object,Assembly_language,0,N
426,Programming_language,Information_retrieval,0,N
427,Broadband_networks,Operating_system,0,N
428,Data_mining,Test_automation,0,N
429,Data_structure,Software_quality_management,0,N
430,Compiler_construction,Data_warehouse,0,N
431,Game_theory,Data_integration,0,N
432,Microarchitecture,Combinatorial_optimization,0,N
433,Computational_linguistics,Computer_vision,0,N
434,Information_retrieval,Wireless_network,0,N
435,Parallel_computing,Database,0,N
436,Software_quality_management,Artificial_intelligence,0,N
437,Software_project_management,Wireless_network,0,N
438,Distributed_object,Internet_protocol_suite,0,N
439,Modeling_language,Computer_vision,0,N
440,Algorithm_design,Software_engineering,0,N
441,Assembly_language,Operating_system,0,N
442,Algorithm_design,Software_quality_management,0,N
443,Computer_security,Artificial_intelligence,0,N
444,Network_security,Data_mining,0,N
445,Computer_architecture,Graphical_model,0,N
446,System_programming,Information_retrieval,0,N
447,Data_integration,Combinatorial_optimization,0,N
448,Wireless_network,Network_security,0,N
449,Algorithm,Data_warehouse,0,N
450,Computational_geometry,Mobile_application_development,0,N
451,Distributed_computing,Machine_learning,0,N
452,Network_service,Software_engineering,0,N
453,Network_service,Object-oriented_design,0,N
454,Internet_protocol_suite,Modeling_language,0,N
455,Programming_language,Theory_of_computation,0,N
456,Natural_language_processing,Cryptography,0,N
457,Cryptography,Parallel_computing,0,N
458,Object-oriented_programming,Microarchitecture,0,N
459,Algorithm,Parallel_computing,0,S
460,Robotics,Natural_language_processing,0,N
461,Software_testing,Software_quality_management,0,N
462,Microarchitecture,Software_architecture,0,N
463,Computer_security,Internet_protocol_suite,0,N
464,Software_analytics,Theory_of_computation,0,N
465,Computer_security,Computational_geometry,0,N
466,Combinatorial_optimization,Information_management,0,N
467,Software_quality_management,Computer_vision,0,N
468,Computer_graphics,Network_service,0,N
469,Internet_protocol_suite,Software_quality_management,0,N
470,Robotics,Analysis_of_algorithms,0,N
471,Test_automation,Information_security,0,N
472,Programming_language,Computer_security,0,N
473,Assembly_language,Parallel_computing,0,S
474,Data_structure,Combinatorial_optimization,0,N
475,System_programming,Graphical_model,0,N
476,Parallel_computing,Translator_(computing),0,N
477,Data-intensive_computing,Parallel_computing,0,N
478,Robotics,Software_quality_management,0,N
479,Parallel_computing,Combinatorial_optimization,0,S
480,Software_metric,Robotics,0,N
481,Assembly_language,Computer_network,0,N
482,Information_retrieval,Translator_(computing),0,N
483,Software_engineering,Machine_learning,0,N
484,Object-oriented_design,Computer_architecture,0,N
485,Data_mining,Data_integration,0,N
486,Data-intensive_computing,Algorithm_design,0,N
487,Software_metric,Assembly_language,0,N
488,Computer_graphics,Computer_network,0,N
489,Computational_geometry,Combinatorial_optimization,0,N
490,Wireless_network,Software_testing,0,N
491,Software_architecture,Information_management,0,N
492,Software_metric,Computer_graphics,0,N
493,Software_quality_management,System_programming,0,N
494,Computational_linguistics,Object-oriented_design,0,N
495,Translator_(computing),Modeling_language,0,N
496,Network_security,Software_quality_management,0,N
497,Computer_architecture,Cryptography,0,N
498,Artificial_intelligence,System_programming,0,N
499,Artificial_intelligence,Analysis_of_algorithms,0,N
500,Distributed_computing,Computer_graphics,0,N
501,Software_project_management,Microarchitecture,0,N
502,Graphical_model,Translator_(computing),0,N
503,Analysis_of_algorithms,Artificial_intelligence,0,N
504,Assembly_language,Computer_architecture,0,N
505,Robotics,Computer-aided_software_engineering,0,N
506,Programming_language,Parallel_computing,0,S
507,Software_analytics,Programming_language,0,N
508,Natural_language_processing,Wireless_network,0,N
509,Robotics,Software_engineering,0,N
510,Network_security,Broadband_networks,0,N
511,Algorithm,Graphical_model,0,N
512,Artificial_intelligence,Cryptography,0,N
513,Programming_language,Data-intensive_computing,0,N
514,Cryptography,Software_analytics,0,N
515,Object-oriented_design,Network_security,0,N
516,Software_metric,Data-intensive_computing,0,N
517,Graphical_model,Cloud_computing,0,N
518,Software_testing,Analysis_of_algorithms,0,N
519,Distributed_computing,Theory_of_computation,0,N
520,Distributed_object,Software_architecture,0,N
521,Cryptography,Broadband_networks,0,N
522,Software_engineering,Computer_security,0,N
523,Compiler_construction,Test_automation,0,N
524,Information_retrieval,Compiler_construction,0,N
525,Operating_system,Computational_geometry,0,N
526,Knowledge_management,Test_automation,0,N
527,Operating_system,Internet_protocol_suite,0,N
528,Knowledge_management,Microarchitecture,0,N
529,Data_mining,Object-oriented_programming,0,N
530,Knowledge_management,Parallel_computing,0,S
531,Parallel_computing,Mobile_application_development,0,S
532,Software_engineering,Computer_graphics,0,N
533,Compiler_construction,Software_quality_management,0,N
534,Software_quality_management,Algorithm_design,0,N
535,Parallel_computing,Distributed_computing,0,N
536,Information_management,Analysis_of_algorithms,0,N
537,Computer-aided_software_engineering,Software_architecture,0,N
538,Software_development,Data_structure,0,N
539,Parallel_computing,Combinatorial_optimization,0,N
540,Data_integration,Theory_of_computation,0,N
541,Software_analytics,Modeling_language,0,N
542,Information_security,Compiler_construction,0,N
543,Software_project_management,Graphical_model,0,N
544,Programming_language,Natural_language_processing,0,N
545,Algorithm_design,Internet_protocol_suite,0,N
546,Algorithm,Information_retrieval,0,N
547,Test_automation,Software_analytics,0,N
548,Theory_of_computation,Graphical_model,0,N
549,Algorithm_design,Object-oriented_programming,0,N
550,Software_project_management,Cryptography,0,N
551,Information_security,Broadband_networks,0,N
552,Theory_of_computation,Network_security,0,N
553,Social_network_analysis,Object-oriented_programming,0,N
554,Discrete_mathematics,Graphical_model,0,N
555,Software_quality_management,Software_architecture,0,N
556,Test_automation,Cloud_computing,0,N
557,Modeling_language,Information_security,0,N
558,Data_integration,Cloud_computing,0,N
559,Knowledge_management,Computer-aided_software_engineering,0,N
560,Artificial_intelligence,Parallel_computing,0,N
561,Network_service,Software_metric,0,N
562,Computational_linguistics,Database,0,N
563,Graphical_model,Software_engineering,0,N
564,Object-oriented_programming,Computational_linguistics,0,N
565,Algorithm,Software_testing,0,N
566,Graphical_model,Software_testing,0,N
567,Natural_language_processing,Assembly_language,0,N
568,Software_metric,Programming_language,0,N
569,Software_quality_management,Object-oriented_programming,0,N
570,Computer_network,Object-oriented_analysis_and_design,0,N
571,Cryptography,Computer_vision,0,N
572,Network_security,Compiler_construction,0,N
573,Translator_(computing),Operating_system,0,N
574,Cloud_computing,Software_testing,0,N
575,Robotics,Data_mining,0,N
576,Computer-aided_software_engineering,Cloud_computing,0,N
577,Combinatorial_optimization,Distributed_computing,0,N
578,Broadband_networks,Object-oriented_analysis_and_design,0,N
579,Software_quality_management,Object-oriented_analysis_and_design,0,N
580,Programming_language,Computer-aided_software_engineering,0,N
581,Software_analytics,Internet_protocol_suite,0,N
582,Computational_geometry,Computer_security,0,N
583,Parallel_computing,Compiler_construction,0,S
584,System_programming,Robotics,0,N
585,Compiler_construction,Data_structure,0,N
586,Cloud_computing,Broadband_networks,0,N
587,Programming_language,Data_mining,0,N
588,Internet_protocol_suite,Machine_learning,0,N
589,Computer_architecture,Parallel_computing,0,S
590,Distributed_computing,Data_warehouse,0,N
591,Data-intensive_computing,System_programming,0,N
592,Translator_(computing),Object-oriented_design,0,N
593,Information_retrieval,Modeling_language,0,N
594,Data_warehouse,Information_security,0,N
595,Data-intensive_computing,Analysis_of_algorithms,0,N
596,Computer_graphics,Software_architecture,0,N
597,Parallel_computing,Artificial_intelligence,0,S
598,Cloud_computing,Wireless_network,0,N
599,Translator_(computing),Computational_geometry,0,N
600,Computational_linguistics,Theory_of_computation,0,N
601,Information_security,Software_development,0,N
602,Object-oriented_design,Translator_(computing),0,N
603,Data-intensive_computing,Assembly_language,0,N
604,Parallel_computing,Computer_architecture,0,N
605,Software_metric,Parallel_computing,0,S
606,Mobile_application_development,Translator_(computing),0,N
607,Parallel_computing,Object-oriented_programming,0,S
608,Software_analytics,Robotics,0,N
609,Data-intensive_computing,Software_architecture,0,N
610,Software_project_management,Object-oriented_analysis_and_design,0,N
611,Software_project_management,Test_automation,0,N
612,Social_network_analysis,Computer_graphics,0,N
613,Data_structure,Object-oriented_programming,0,N
614,Compiler_construction,Data_mining,0,N
615,Parallel_computing,Data-intensive_computing,0,S
616,Computer-aided_software_engineering,Robotics,0,N
617,Software_development,Cryptography,0,N
618,Information_retrieval,Object-oriented_design,0,N
619,Machine_learning,Translator_(computing),0,N
620,Object-oriented_design,Wireless_network,0,N
621,Analysis_of_algorithms,Object-oriented_analysis_and_design,0,N
622,Wireless_network,Object-oriented_design,0,N
623,Database,Graphical_model,0,N
624,Data_warehouse,Data_structure,0,N
625,Parallel_computing,Information_security,0,N
626,Data_mining,Combinatorial_optimization,0,N
627,Mobile_application_development,Computational_geometry,0,N
628,Parallel_computing,Robotics,0,S
629,Assembly_language,Cryptography,0,N
630,Discrete_mathematics,Software_engineering,0,N
631,Game_theory,Parallel_computing,0,S
632,Test_automation,Computer_security,0,N
633,Software_analytics,Artificial_intelligence,0,N
634,Computer_security,Information_retrieval,0,N
635,Knowledge_management,Assembly_language,0,N
636,Data_mining,Software_architecture,0,N
637,Combinatorial_optimization,Data_integration,0,N
638,Assembly_language,Internet_protocol_suite,0,N
639,Internet_protocol_suite,Computer_security,0,N
640,Distributed_object,Programming_language,0,N
641,Computer_network,Network_service,0,N
642,Software_quality_management,Parallel_computing,0,S
643,System_programming,Software_engineering,0,N
644,Data_warehouse,Translator_(computing),0,N
645,Computational_geometry,Software_analytics,0,N
646,Distributed_computing,Software_project_management,0,N
647,Cryptography,Modeling_language,0,N
648,Computer_graphics,Software_quality_management,0,N
649,Software_testing,Broadband_networks,0,N
650,Graphical_model,Combinatorial_optimization,0,N
651,Network_service,Computer_architecture,0,N
652,Distributed_computing,Wireless_network,0,N
653,Cryptography,Information_management,0,N
654,Assembly_language,Data_warehouse,0,N
655,Data_warehouse,Computer_security,0,N
656,Test_automation,Social_network_analysis,0,N
657,Software_engineering,Network_security,0,N
658,Microarchitecture,Natural_language_processing,0,N
659,Software_analytics,Parallel_computing,0,S
660,Graphical_model,Data_integration,0,N
661,Data_structure,Social_network_analysis,0,N
662,Object-oriented_design,Broadband_networks,0,N
663,Algorithm,Information_management,0,N
