id,ConceptA,ConceptB_Pre,prerequisite,Substituido,
109,Computational_complexity_theory,Computational_problem,1,N,
110,Combinatorics,Mathematics,1,N,
111,Image_analysis,Computer_science,1,N,
112,Distributed_computing,Computer_network,1,N,
113,Haskell_(programming_language),Functional_programming,1,N,
114,Data_type,Computer_science,1,N,
115,Complexity,Algorithm,1,N,
116,P_versus_NP_problem,Algorithm,1,N,
117,Scripting_language,Programming_language,1,N,
118,Algorithm_design,Computer_science,1,N,
119,Computer_science,Foundations_of_mathematics,1,N,
120,Scope_(computer_science),Programming_language,1,N,
121,Modular_programming,Scope_(computer_science),1,N,
122,Computer_graphics,Graphics,1,N,
123,Computer_vision,Analysis_of_algorithms,1,N,
124,Parallel_computing,Computing,1,N,
125,Natural_language_processing,Unsupervised_learning,1,N,
126,List_of_undecidable_problems,Computational_problem,1,N,
127,Ray_tracing_(graphics),Rendering_(computer_graphics),1,N,
128,Social_network,Graph_theory,1,N,
129,Statistical_hypothesis_testing,Data,1,N,
130,Artificial_intelligence,Numerical_analysis,1,N,
131,Software_development,Data_structure,1,N,
132,Communications_protocol,Algorithm,1,N,
133,Question_answering,Expert_system,1,N,
134,Algorithm,Mathematical_induction,1,N,
135,Information_theory,Probability_theory,1,N,
136,Stochastic_process,Random_variable,1,N,
137,Distributed_computing,Computer_programming,1,N,
138,Graphical_model,Data,1,N,
139,Recursively_enumerable_set,Finite_set,1,N,
140,Machine_translation,Algorithm,1,N,
141,Computational_complexity_theory,Integer,1,N,
142,Programming_language,Computer,1,N,
143,Propositional_calculus,Logic,1,N,
144,C++,Computer,1,N,
145,Scope_(computer_science),Computer_programming,1,N,
146,Shortest_path_problem,Graph_theory,1,N,
147,Inter-process_communication,Data,1,N,
148,Parsing,String_(computer_science),1,N,
149,Lexical_analysis,Regular_expression,1,N,
150,Computer_security,Security,1,N,
151,Data_mining,Data,1,N,
152,Robotics,Analysis_of_algorithms,1,N,
153,Algorithm,Theoretical_computer_science,1,N,
154,Hidden_Markov_model,Dynamic_programming,1,N,
155,Computer_graphics,Computer,1,N,
156,Sentiment_analysis,Machine_learning,1,N,
157,Computational_geometry,Algorithm,1,N,
158,Quantum_computing,Theoretical_computer_science,1,N,
159,Communications_protocol,Communication,1,N,
160,Mathematical_optimization,Linear_algebra,1,N,
161,Data_mining,Database,1,N,
162,Theoretical_computer_science,Computation,1,N,
163,Concurrency_control,Database,1,N,
164,Java_(programming_language),Computer_programming,1,N,
165,Communications_protocol,Synchronization,1,N,
166,Artificial_intelligence,Logic,1,N,
167,Operating_system,Central_processing_unit,1,N,
168,Cryptography,Mathematical_proof,1,N,
169,Boundary_value_problem,Ordinary_differential_equation,1,N,
170,Probability,Mathematics,1,N,
171,Recurrence_relation,Algorithm,1,N,
172,Object-oriented_programming,Abstract_data_type,1,N,
173,Mathematical_optimization,Algorithm,1,N,
174,Relational_database_management_system,Relational_algebra,1,N,
175,String_(computer_science),Data_structure,1,N,
176,Markov_chain,Conditional_probability,1,N,
177,Undecidable_problem,Computational_complexity_theory,1,N,
178,Concurrency_(computer_science),Computation,1,N,
179,Poisson_distribution,Expected_value,1,N,
180,Arithmetic_logic_unit,Computer,1,N,
181,Markov_chain,Random_variable,1,N,
182,Computer_security,Computer_science,1,N,
183,Automated_theorem_proving,Mathematical_induction,1,N,
184,Statistical_inference,Random_variable,1,N,
185,Computer_animation,Computational_geometry,1,N,
186,Random_walk,Graph_theory,1,N,
187,Artificial_intelligence,Reason,1,N,
188,Malware,Computer_security,1,N,
189,Relational_database_management_system,Relational_database,1,N,
190,Optimizing_compiler,Assembly_language,1,N,
191,Embedded_system,Operating_system,1,N,
192,Concurrent_computing,Computer,1,N,
193,Signal_processing,Probability,1,N,
194,Pattern_matching,Functional_programming,1,N,
195,Estimation_theory,Expected_value,1,N,
196,Computational_complexity_theory,Mathematics,1,N,
197,Ordinary_differential_equation,Polynomial,1,N,
198,Recursion_(computer_science),Algorithm,1,N,
199,Object-oriented_programming,Computer_science,1,N,
200,Query_language,Programming_language,1,N,
201,Computational_geometry,Algorithm_design,1,N,
202,Game_theory,Mathematical_model,1,N,
203,Computer_graphics,Image,1,N,
204,Computer_animation,Mathematics,1,N,
205,Formal_language,String_(computer_science),1,N,
206,Network_security,Computer_security,1,N,
207,Relational_model,Data,1,N,
208,Relational_database,Database,1,N,
209,Time_complexity,Computer_science,1,N,
210,Random_graph,Graph_theory,1,N,
211,Relational_database,Computer_science,1,N,
212,Algorithm,Computation,1,N,
213,Computer_science,Computer,1,N,
214,Turing_machine,Computation,1,N,
215,Graphical_model,Statistical_inference,1,N,
216,Kalman_filter,Expected_value,1,N,
217,Coding_theory,Computer_science,1,N,
218,Recurrence_relation,Mathematics,1,N,
219,Programming_paradigm,Data_structure,1,N,
220,Computer_network,Data,1,N,
221,Probability,Uncertainty,1,N,
222,Autonomous_robot,Robotics,1,N,
223,Analysis_of_algorithms,Algorithm,1,N,
224,NP_(complexity),Computer_science,1,N,
225,Genetic_algorithm,Algorithm,1,N,
226,Speech_recognition,Markov_chain,1,N,
227,Internet,Routing,1,N,
228,NP_(complexity),Turing_machine,1,N,
229,Autonomous_robot,Motion_planning,1,N,
230,SQL,Database,1,N,
231,Python_(programming_language),Object-oriented_programming,1,N,
232,Calculus,Algebra,1,N,
233,Software_engineering,Computer,1,N,
234,Correlation_and_dependence,Random_variable,1,N,
235,Finite_set,Mathematics,1,N,
236,Monad_(functional_programming),Computation,1,N,
237,Cryptography,Algorithm,1,N,
238,SQL,Computer_science,1,N,
239,Pipeline_(computing),Central_processing_unit,1,N,
240,Data_warehouse,Data_structure,1,N,
241,Haskell_(programming_language),Programming_language,1,N,
242,Software_engineering,Computer_science,1,N,
243,Programmer,Programming_language,1,N,
244,Interpolation,Numerical_analysis,1,N,
245,Finite-state_machine,Computer_science,1,N,
246,Cache_coherence,Parallel_computing,1,N,
247,Cluster_analysis,Computer_science,1,N,
248,Automated_theorem_proving,Predicate_logic,1,N,
249,NP_(complexity),Computational_complexity_theory,1,N,
250,Computer_graphics,Algorithm_design,1,N,
251,Graphical_model,Machine_learning,1,N,
252,Markov_chain,Expected_value,1,N,
253,Lexical_analysis,Finite-state_machine,1,N,
254,Finite_difference,Numerical_analysis,1,N,
255,Graphics_processing_unit,Parallel_computing,1,N,
256,Recursion_(computer_science),Computer_programming,1,N,
257,Transaction_processing,Database,1,N,
258,Compiler,Regular_expression,1,N,
259,Wireless_sensor_network,Communication,1,N,
260,B-tree,Computer_science,1,N,
261,Computational_complexity_theory,Foundations_of_mathematics,1,N,
262,Information_assurance,Information_security,1,N,
263,Web_browser,Computer,1,N,
264,Mathematical_proof,Mathematics,1,N,
265,Computational_complexity_theory,Computer_science,1,N,
266,Python_(programming_language),Computer_programming,1,N,
267,Relational_model,Predicate_logic,1,N,
268,Compiler,Computer_science,1,N,
269,CPU_cache,Computer_architecture,1,N,
270,Divide_and_conquer_algorithms,Algorithm,1,N,
271,Computer_programming,Computer,1,N,
272,Object-oriented_programming,Software_design_pattern,1,N,
273,Randomized_algorithm,Computational_complexity_theory,1,N,
274,Computational_complexity_theory,Algorithm_design,1,N,
275,Polynomial,Integer,1,N,
276,Algorithm,Polynomial,1,N,
277,Parallel_computing,Central_processing_unit,1,N,
278,String_searching_algorithm,Algorithm,1,N,
279,Object-oriented_programming,Object_(computer_science),1,N,
280,Application_software,Computer,1,N,
281,String_searching_algorithm,Regular_expression,1,N,
282,Complexity,Mathematics,1,N,
283,Artificial_neural_network,Machine_learning,1,N,
284,Parsing,Data_structure,1,N,
285,Analysis_of_algorithms,Turing_machine,1,N,
286,Martingale_(probability_theory),Expected_value,1,N,
287,Monte_Carlo_method,Statistical_inference,1,N,
288,Parametric_polymorphism,Data_type,1,N,
289,Finite_difference,Boundary_value_problem,1,N,
290,Java_(programming_language),Compiler,1,N,
291,Concurrency_control,Algorithm_design,1,N,
292,"Best,_worst_and_average_case",Computer_science,1,N,
293,Model_checking,Computer_science,1,N,
294,Machine_translation,Artificial_intelligence,1,N,
295,Parsing,Context-free_language,1,N,
296,Machine_learning,Artificial_intelligence,1,N,
297,Discrete_mathematics,Mathematical_proof,1,N,
298,Computer_graphics,Computer_programming,1,N,
299,PSPACE,Turing_machine,1,N,
301,Randomized_algorithm,Random_variable,1,N,
302,Information_theory,Conditional_probability,1,N,
303,Semantics_(computer_science),Programming_language,1,N,
304,Hash_table,"Best,_worst_and_average_case",1,N,
305,Object_(computer_science),Computer_science,1,N,
306,Data_structure,Computer_science,1,N,
307,Recursion,Control_flow,1,N,
308,C++,Object-oriented_programming,1,N,
309,Operating_system,Computer,1,N,
310,Authentication,Information_security,1,N,
311,Deadlock,Operating_system,1,N,
312,Functional_programming,Computer_science,1,N,
313,System_call,Operating_system,1,N,
314,Lisp_(programming_language),Scope_(computer_science),1,N,
315,Computational_problem,Computer_science,1,N,
316,Gradient_descent,Mathematical_optimization,1,N,
317,Algorithm,Problem_solving,1,N,
318,Perl,Compiler,1,N,
319,Pattern_recognition,Probability,1,N,
320,Java_(programming_language),Scope_(computer_science),1,N,
321,Machine_learning,Computer,1,N,
322,Volume_rendering,Computer_graphics,1,N,
323,Computer_network,Data_(computing),1,N,
324,Complexity_class,Computational_complexity_theory,1,N,
325,Concurrency_control,Computer_science,1,N,
326,Python_(programming_language),Computer,1,N,
327,Recursively_enumerable_set,Algorithm,1,N,
328,Randomized_algorithm,Randomization,1,N,
329,Compiler,Programming_language,1,N,
330,Analysis_of_algorithms,Combinatorics,1,N,
331,Java_(programming_language),Data_structure,1,N,
332,Software_engineering,Data_structure,1,N,
333,Parallel_algorithm,Algorithm,1,N,
334,Interaction_design,User_interface,1,N,
335,Web_search_engine,Algorithm,1,N,
336,Software,Operating_system,1,N,
337,Packet_switching,Computer_network,1,N,
338,Routing,Computer,1,N,
339,Rendering_(computer_graphics),Shading,1,N,
340,Operating_system,Computing,1,N,
341,Lazy_evaluation,Programming_language,1,N,
342,Algorithm,Abstraction_(computer_science),1,N,
343,Programming_language,Computability,1,N,
344,Autonomous_robot,Robot,1,N,
345,Numerical_analysis,Mathematics,1,N,
346,Speech_recognition,Computer_science,1,N,
347,Program_analysis,Computer_science,1,N,
348,Functional_programming,Computer_programming,1,N,
349,Reinforcement_learning,Artificial_intelligence,1,N,
350,Sparse_matrix,Matrix_(mathematics),1,N,
351,Sentiment_analysis,Document_classification,1,N,
352,Image_processing,Computer_programming,1,N,
353,Computer_vision,Computer_programming,1,N,
354,Big_data,Computer_science,1,N,
356,Algebra,Arithmetic,1,N,
357,Graph_coloring,Dynamic_programming,1,N,
358,User_interface_design,Computer,1,N,
359,Central_processing_unit,Computer,1,N,
360,Parallel_algorithm,Computer_science,1,N,
361,Cryptography,Computer_security,1,N,
362,Cryptanalysis,Mathematics,1,N,
363,Computational_chemistry,Computer_programming,1,N,
364,Analysis_of_algorithms,Computational_complexity_theory,1,N,
365,Internet_protocol_suite,Computer,1,N,
366,Divide_and_conquer_algorithms,Recursion,1,N,
367,String_searching_algorithm,Introduction_to_Algorithms,1,N,
368,MATLAB,Programming_language,1,N,
369,Computer_science,Discrete_mathematics,1,N,
370,Software_development,Object-oriented_programming,1,N,
371,Sentiment_analysis,Natural_language_processing,1,N,
372,Scripting_language,Computer_programming,1,N,
373,Pushdown_automaton,Computability,1,N,
374,Random_walk,Expected_value,1,N,
375,Formal_language,Discrete_mathematics,1,N,
376,Hidden_Markov_model,Probability_theory,1,N,
377,Database_design,Data_structure,1,N,
378,ML_(programming_language),Functional_programming,1,N,
379,Polymorphism_(computer_science),Programming_language,1,N,
380,Scheduling_(computing),Operating_system,1,N,
381,Database_design,Relational_model,1,N,
382,Embedded_system,Microprocessor,1,N,
383,Least_squares,Numerical_analysis,1,N,
384,Monte_Carlo_method,Integral,1,N,
385,Computational_complexity_theory,Computability,1,N,
386,Distributed_computing,Computational_problem,1,N,
387,Discrete_mathematics,Mathematics,1,N,
388,Exponential_family,Random_variable,1,N,
389,Hidden_Markov_model,Artificial_intelligence,1,N,
390,Concurrency_control,Analysis_of_algorithms,1,N,
391,Computational_geometry,Computational_science,1,N,
392,Stochastic_process,Randomness,1,N,
393,Random_walk,Graph_theory,1,N,
394,Recursion,Algorithm,1,N,
395,Ray_tracing_(graphics),Computer_graphics,1,N,
396,Automatic_programming,Computer_programming,1,N,
397,Firewall_(computing),Data,1,N,
398,Algorithm,Discrete_mathematics,1,N,
399,Linear_programming,Algorithm,1,N,
400,Software_design,Programming_language,1,N,
401,Imperative_programming,Control_flow,1,N,
402,Kernel_(operating_system),Operating_system,1,N,
403,Computer,Arithmetic,1,N,
404,Sufficient_statistic,Data,1,N,
405,Unsupervised_learning,Machine_learning,1,N,
406,Parsing,Algorithm,1,N,
407,Object-oriented_programming,Programming_language,1,N,
408,Correlation_and_dependence,Data,1,N,
409,Programming_language,Automata_theory,1,N,
410,Hash_table,Data_(computing),1,N,
411,Distributed_algorithm,Algorithm,1,N,
412,Monad_(functional_programming),Functional_programming,1,N,
413,Firewall_(computing),Network_security,1,N,
414,Finite-state_machine,Theory_of_computation,1,N,
415,Analysis_of_algorithms,Computational_science,1,N,
416,Semidefinite_programming,Approximation_algorithm,1,N,
417,Unix,Operating_system,1,N,
418,Database_design,Database,1,N,
419,High-level_programming_language,Computer_science,1,N,
420,Database_design,Database,1,N,
421,Computational_complexity_theory,Theoretical_computer_science,1,N,
422,Superscalar_processor,Multi-core_processor,1,N,
423,Graph_theory,Mathematics,1,N,
424,Model_of_computation,Computation,1,N,
425,Peer-to-peer,Computer_network,1,N,
426,Quantum_computing,Computer_science,1,N,
427,Markov_chain,Probability_theory,1,N,
428,C_(programming_language),Computer,1,N,
429,Analysis_of_algorithms,Asymptotic_analysis,1,N,
430,Lisp_(programming_language),Programming_language,1,N,
431,Stochastic_process,Randomization,1,N,
432,Computer_security,Computer,1,N,
433,Functional_programming,Recursion,1,N,
434,Knowledge_representation_and_reasoning,Logic,1,N,
435,Machine_learning,Probability,1,N,
436,Traffic_analysis,Cryptography,1,N,
437,Automated_planning_and_scheduling,Artificial_intelligence,1,N,
438,Undecidable_problem,Algorithm,1,N,
439,Cryptography,Mathematics,1,N,
440,Correlation_and_dependence,Expected_value,1,N,
441,Dynamic_programming,Computer_science,1,N,
442,CPU_cache,Computer,1,N,
443,Document_classification,Computer_science,1,N,
444,Linear_algebra,Mathematics,1,N,
445,Arithmetic_logic_unit,Combinational_logic,1,N,
446,Speech_recognition,Machine_learning,1,N,
447,Stochastic_process,Probability,1,N,
448,Computing,Computation,1,N,
449,Database,Data,1,N,
450,Game_theory,Probability_theory,1,N,
451,Computer_programming,Algorithm,1,N,
452,Quantum_mechanics,Randomness,1,N,
453,Computational_learning_theory,Probability,1,N,
454,Artificial_neural_network,Algorithm,1,N,
455,Control_flow,Programming_language,1,N,
456,Calculus_of_variations,Integral,1,N,
457,Knowledge_representation_and_reasoning,Data_structure,1,N,
458,Algorithm,Foundations_of_mathematics,1,N,
459,Regular_language,Finite-state_machine,1,N,
460,Cloud_computing,Computer_network,1,N,
461,Java_(programming_language),Computer,1,N,
462,Python_(programming_language),Variable_(computer_science),1,N,
463,Computer_network,Communications_protocol,1,N,
464,Social_network,Graph_theory,1,N,
465,Mathematical_optimization,Integer,1,N,
466,Object-oriented_programming,Data_type,1,N,
467,Artificial_intelligence,Data_structure,1,N,
468,Natural_language_processing,Computer_science,1,N,
469,Spanning_tree,Mathematics,1,N,
470,Computer_vision,Pattern_recognition,1,N,
471,Regular_language,Computability,1,N,
472,Robot,Computation,1,N,
473,Cryptography,Number_theory,1,N,
474,JavaScript,Programming_language,1,N,
475,Approximation_algorithm,Algorithm,1,N,
476,Decision_theory,Statistical_inference,1,N,
477,Object-oriented_programming,Variable_(computer_science),1,N,
478,Approximation_algorithm,Introduction_to_Algorithms,1,N,
479,Compiler,Assembly_language,1,N,
480,Software_design,Java_(programming_language),1,N,
481,Memory_management,Operating_system,1,N,
482,Halting_problem,Computability,1,N,
483,Linear_system,Matrix_(mathematics),1,N,
484,Assembly_language,Syntax,1,N,
485,NP-completeness,Algorithm,1,N,
486,Graph_coloring,Graph_theory,1,N,
487,Lexical_analysis,Programming_language,1,N,
488,P_versus_NP_problem,Integer,1,N,
489,Superscalar_processor,Computer_architecture,1,N,
490,Symbol_table,Computer_science,1,N,
491,Quantum_mechanics,Continuous_function,1,N,
492,Round-off_error,Numerical_analysis,1,N,
493,Computer_vision,Algorithm_design,1,N,
494,Newton's_method,Numerical_analysis,1,N,
495,Polymorphism_(computer_science),Abstract_data_type,1,N,
496,Structured_programming,Programming_language,1,N,
497,Computer_programming,Computing,1,N,
498,Sufficient_statistic,Statistical_inference,1,N,
499,Randomized_algorithm,Introduction_to_Algorithms,1,N,
500,Randomized_algorithm,Algorithm,1,N,
501,SQL,Programming_language,1,N,
502,Programmer,Computer_programming,1,N,
503,Hidden_line_removal,Algorithm,1,N,
504,Computer,Digital_electronics,1,N,
505,Queue_(abstract_data_type),Array_data_structure,1,N,
507,Poisson_distribution,Random_variable,1,N,
508,Concurrency_(computer_science),Parallel_computing,1,N,
509,Cryptanalysis,Cryptography,1,N,
510,Malware,Information_security,1,N,
511,Robot,Artificial_intelligence,1,N,
512,Functional_programming,Programming_language,1,N,
513,Ordinary_differential_equation,Nonlinear_system,1,N,
514,Application_programming_interface,Programming_language,1,N,
515,Lexical_analysis,Computer_science,1,N,
516,Data_structure,Data_type,1,N,
517,Formal_grammar,String_(computer_science),1,N,
518,Software,Computer,1,N,
519,Processor_register,Stack_(abstract_data_type),1,N,
520,Analysis_of_algorithms,Mathematical_induction,1,N,
521,Scientific_visualization,Computer_graphics,1,N,
522,Bioinformatics,Analysis_of_algorithms,1,N,
523,Garbage_collection_(computer_science),Computer_science,1,N,
524,Prolog,Logic_programming,1,N,
525,NP-completeness,Computational_complexity_theory,1,N,
526,List_of_undecidable_problems,Computability,1,N,
527,Hash_table,Data_structure,1,N,
528,Memory_management,Operating_system,1,N,
529,Software_testing,Software_development,1,N,
530,Pushdown_automaton,String_(computer_science),1,N,
531,Internet_protocol_suite,Computer_network,1,N,
532,Data_mining,Computer_science,1,N,
533,Internet,Telecommunications_network,1,N,
534,Automated_theorem_proving,Mathematical_proof,1,N,
535,Model_of_computation,Computer_science,1,N,
536,Stochastic,Probability_theory,1,N,
537,C_(programming_language),Computer_programming,1,N,
538,Application_programming_interface,Computer_programming,1,N,
539,Mathematical_optimization,Matrix_(mathematics),1,N,
540,Natural_language_processing,Algorithm_design,1,N,
541,Predicate_logic,Foundations_of_mathematics,1,N,
542,3D_computer_graphics,Image_processing,1,N,
543,Computer_programming,Arithmetic,1,N,
544,Lisp_(programming_language),Logic_programming,1,N,
545,Numerical_analysis,Matrix_(mathematics),1,N,
546,C_(programming_language),Computing,1,N,
547,OSI_model,Computer_network,1,N,
548,Bayesian_network,Conditional_probability,1,N,
549,Cryptography,Modular_arithmetic,1,N,
550,Iterative_method,Numerical_analysis,1,N,
551,Assembly_language,Programming_language,1,N,
552,Computer_network,Computer,1,N,
553,File_system,Computing,1,N,
554,Database,Data_structure,1,N,
555,Graph_theory,Mathematics,1,N,
556,Computational_geometry,Analysis_of_algorithms,1,N,
557,Malware,Computer_network,1,N,
558,Recursively_enumerable_set,Recursion,1,N,
559,Firewall_(computing),Vulnerability_(computing),1,N,
560,Recursion_(computer_science),Programming_language,1,N,
561,Turing_machine,Automata_theory,1,N,
562,Imperative_programming,Variable_(computer_science),1,N,
563,Economics,Mathematical_optimization,1,N,
564,Probability_theory,Mathematics,1,N,
565,Query_optimization,SQL,1,N,
566,Decision_theory,Algorithm,1,N,
567,Decision_theory,Random_variable,1,N,
568,Multiplication,Mathematics,1,N,
569,Genetic_algorithm,Computer_science,1,N,
570,Machine_learning,Expected_value,1,N,
571,Message_Passing_Interface,Inter-process_communication,1,N,
572,Estimation_theory,Probability,1,N,
573,Approximation_algorithm,Mathematical_optimization,1,N,
574,HTML,Computer,1,N,
575,Relational_model,Data_type,1,N,
576,Mathematical_optimization,Mathematical_model,1,N,
577,Memory_management,Array_data_structure,1,N,
578,Calculus,Arithmetic,1,N,
579,Parallel_algorithm,Parallel_computing,1,N,
580,Personal_computer,Computer,1,N,
581,Quantum_mechanics,Probability,1,N,
582,Parallel_computing,Lock_(computer_science),1,N,
583,Time_complexity,Computational_complexity_theory,1,N,
584,Discrete_mathematics,Algebra,1,N,
585,Ordinary_differential_equation,Numerical_analysis,1,N,
586,Computer_vision,Computer_science,1,N,
587,Computational_complexity_theory,Theory_of_computation,1,N,
588,Lisp_(programming_language),Functional_programming,1,N,
589,Computer_architecture,Computer_science,1,N,
590,Parametric_polymorphism,Programming_language,1,N,
591,Game_theory,Mathematical_optimization,1,N,
592,Computational_geometry,Computer_graphics,1,N,
593,Pushdown_automaton,Automata_theory,1,N,
594,Poisson_distribution,Probability_theory,1,N,
595,Server_(computing),Computer,1,N,
596,Query_optimization,Database,1,N,
597,Transaction_processing,Computer_science,1,N,
598,JavaScript,World_Wide_Web,1,N,
599,Java_(programming_language),Object-oriented_programming,1,N,
600,System_programming,Operating_system,1,N,
601,Theoretical_computer_science,Mathematics,1,N,
602,MapReduce,Parallel_computing,1,N,
603,Artificial_intelligence,Programming_language,1,N,
604,Algorithm_design,Mathematics,1,N,
605,String_searching_algorithm,Computer_science,1,N,
606,Finite_element_method,Polynomial,1,N,
607,Imperative_programming,Computer,1,N,
608,Information_theory,Random_variable,1,N,
609,Computer_graphics,Algorithm,1,N,
610,Virtual_memory,Computing,1,N,
611,Linear_programming,Mathematical_optimization,1,N,
612,Bayesian_network,Random_variable,1,N,
613,Human–computer_interaction,Interface_(computing),1,N,
614,Pushdown_automaton,Theory_of_computation,1,N,
615,Computer_vision,Artificial_intelligence,1,N,
616,Cryptography,Authentication,1,N,
617,Scalability,Software_design,1,N,
618,Virtual_memory,Memory_hierarchy,1,N,
619,Machine_learning,Mathematical_optimization,1,N,
620,Assembly_language,Computer_science,1,N,
621,Graph_theory,Computational_science,1,N,
622,Parsing,Regular_language,1,N,
623,Quantum_computing,Computational_complexity_theory,1,N,
624,Digital_signature,Algorithm,1,N,
625,Knowledge_representation_and_reasoning,Computer_science,1,N,
626,Finite-state_machine,Logic,1,N,
627,Amortized_analysis,Computer_science,1,N,
628,Monad_(functional_programming),Input/output,1,N,
629,Programming_paradigm,Computational_science,1,N,
630,Parsing,Algorithm_design,1,N,
631,Robotics,Artificial_intelligence,1,N,
632,Database_index,Relational_database,1,N,
633,Microcode,Computer,1,N,
634,Halting_problem,Theory_of_computation,1,N,
635,Computability,Computer_science,1,N,
636,Formal_verification,Computer_science,1,N,
637,Inheritance_(object-oriented_programming),Programming_language,1,N,
638,Computer_architecture,Computer,1,N,
639,Turing_machine,Mathematics,1,N,
640,Distributed_computing,Computational_complexity_theory,1,N,
641,Lexical_analysis,Regular_language,1,N,
642,Routing,OSI_model,1,N,
643,Public-key_cryptography,Discrete_mathematics,1,N,
644,Instruction_set,Computer,1,N,
645,Design_of_experiments,Statistical_hypothesis_testing,1,N,
646,Web_server,Operating_system,1,N,
